Time,Lat,Lon,scPDSI
992,45.25,15.5,-0.026
992,45.75,15.5,0.144
992,46.25,15.5,1.055
992,46.75,15.5,3.758
992,45.25,16,-1.449
992,45.75,16,-1.737
992,46.25,16,0.604
992,46.75,16,1.034
992,45.25,16.5,-0.392
992,45.75,16.5,-2.076
992,46.25,16.5,-0.707
992,46.75,16.5,2.607
993,45.25,15.5,-2.314
993,45.75,15.5,-3.725
993,46.25,15.5,-2.547
993,46.75,15.5,-2.239
993,45.25,16,-0.515
993,45.75,16,-4.031
993,46.25,16,-0.891
993,46.75,16,-0.216
993,45.25,16.5,-3.126
993,45.75,16.5,-1.342
993,46.25,16.5,-1.968
993,46.75,16.5,-1.949
994,45.25,15.5,-1.548
994,45.75,15.5,-0.741
994,46.25,15.5,2.579
994,46.75,15.5,0.019
994,45.25,16,-1.034
994,45.75,16,-2.539
994,46.25,16,0.35
994,46.75,16,1.636
994,45.25,16.5,-2.07
994,45.75,16.5,-2.592
994,46.25,16.5,-0.66
994,46.75,16.5,-0.908
995,45.25,15.5,1.16
995,45.75,15.5,2.499
995,46.25,15.5,1.037
995,46.75,15.5,0.792
995,45.25,16,0.205
995,45.75,16,0.206
995,46.25,16,0.903
995,46.75,16,0.193
995,45.25,16.5,1.351
995,45.75,16.5,0.778
995,46.25,16.5,0.281
995,46.75,16.5,0.007
996,45.25,15.5,1.674
996,45.75,15.5,-0.631
996,46.25,15.5,-0.203
996,46.75,15.5,1.07
996,45.25,16,0.722
996,45.75,16,-0.33
996,46.25,16,0.551
996,46.75,16,0.838
996,45.25,16.5,2.47
996,45.75,16.5,1.178
996,46.25,16.5,0.87
996,46.75,16.5,0.496
997,45.25,15.5,2.07
997,45.75,15.5,-0.825
997,46.25,15.5,1.509
997,46.75,15.5,0.834
997,45.25,16,1.599
997,45.75,16,-0.229
997,46.25,16,1.229
997,46.75,16,1.81
997,45.25,16.5,3.69
997,45.75,16.5,2.871
997,46.25,16.5,1.914
997,46.75,16.5,0.495
998,45.25,15.5,0.841
998,45.75,15.5,1.512
998,46.25,15.5,1.905
998,46.75,15.5,-1.169
998,45.25,16,2.227
998,45.75,16,-1.212
998,46.25,16,1.907
998,46.75,16,2.513
998,45.25,16.5,1.026
998,45.75,16.5,5.253
998,46.25,16.5,1.191
998,46.75,16.5,0.115
999,45.25,15.5,-2.808
999,45.75,15.5,-3.394
999,46.25,15.5,-1.074
999,46.75,15.5,0.576
999,45.25,16,-3.517
999,45.75,16,-3.974
999,46.25,16,-1.832
999,46.75,16,-2.507
999,45.25,16.5,-0.978
999,45.75,16.5,-2.138
999,46.25,16.5,-2.24
999,46.75,16.5,-0.479
1000,45.25,15.5,-2.037
1000,45.75,15.5,-1.113
1000,46.25,15.5,1.702
1000,46.75,15.5,0.63
1000,45.25,16,-0.108
1000,45.75,16,-1.261
1000,46.25,16,0.994
1000,46.75,16,2.115
1000,45.25,16.5,-2.482
1000,45.75,16.5,-0.224
1000,46.25,16.5,0.984
1000,46.75,16.5,0.362
1001,45.25,15.5,-1.557
1001,45.75,15.5,-0.167
1001,46.25,15.5,-1.895
1001,46.75,15.5,-0.114
1001,45.25,16,-1.232
1001,45.75,16,-0.312
1001,46.25,16,-0.645
1001,46.75,16,-2.508
1001,45.25,16.5,-1.794
1001,45.75,16.5,-0.328
1001,46.25,16.5,-1.606
1001,46.75,16.5,-0.583
1002,45.25,15.5,-1.534
1002,45.75,15.5,1.369
1002,46.25,15.5,-0.948
1002,46.75,15.5,-0.879
1002,45.25,16,-0.825
1002,45.75,16,0.913
1002,46.25,16,-0.414
1002,46.75,16,-0.844
1002,45.25,16.5,-2.164
