Time,Lat,Lon,scPDSI
992,49.25,13.5,0.555
992,49.75,13.5,1.226
992,50.25,13.5,0.227
992,50.75,13.5,-1.618
992,49.25,14,-0.141
992,49.75,14,-0.102
992,50.25,14,1.181
992,50.75,14,-1.367
992,49.25,14.5,1.905
992,49.75,14.5,-0.131
992,50.25,14.5,0.603
992,50.75,14.5,0.288
992,49.25,15,-1.28
992,49.75,15,-0.05
992,50.25,15,0.714
992,50.75,15,-1.773
992,49.25,15.5,0.312
992,49.75,15.5,1.721
992,50.25,15.5,0.196
992,50.75,15.5,0.112
992,49.25,16,0.563
992,49.75,16,0.987
992,50.25,16,1.677
992,50.75,16,0.009
992,49.25,16.5,-0.942
992,49.75,16.5,1.109
992,50.25,16.5,0.42
992,50.75,16.5,-0.747
993,49.25,13.5,1.06
993,49.75,13.5,1.149
993,50.25,13.5,-0.425
993,50.75,13.5,-1.795
993,49.25,14,0.314
993,49.75,14,-0.553
993,50.25,14,0.907
993,50.75,14,-1.534
993,49.25,14.5,-0.456
993,49.75,14.5,-0.322
993,50.25,14.5,0.215
993,50.75,14.5,-2.599
993,49.25,15,-1.097
993,49.75,15,0.364
993,50.25,15,0.586
993,50.75,15,-1.077
993,49.25,15.5,0.346
993,49.75,15.5,1.598
993,50.25,15.5,-0.004
993,50.75,15.5,-1.209
993,49.25,16,0.562
993,49.75,16,0.261
993,50.25,16,0.665
993,50.75,16,0.076
993,49.25,16.5,-0.81
993,49.75,16.5,0.123
993,50.25,16.5,-0.52
993,50.75,16.5,-0.95
994,49.25,13.5,2.54
994,49.75,13.5,1.432
994,50.25,13.5,1.258
994,50.75,13.5,-2.015
994,49.25,14,1.523
994,49.75,14,-0.33
994,50.25,14,1.771
994,50.75,14,-1.902
994,49.25,14.5,1.292
994,49.75,14.5,0.725
994,50.25,14.5,0.462
994,50.75,14.5,0.741
994,49.25,15,-1.347
994,49.75,15,0.686
994,50.25,15,0.612
994,50.75,15,-1.748
994,49.25,15.5,0.828
994,49.75,15.5,2.039
994,50.25,15.5,0.702
994,50.75,15.5,0.218
994,49.25,16,-0.099
994,49.75,16,-0.295
994,50.25,16,1.978
994,50.75,16,1.216
994,49.25,16.5,-2.274
994,49.75,16.5,-0.273
994,50.25,16.5,0.358
994,50.75,16.5,-0.587
995,49.25,13.5,1.056
995,49.75,13.5,-0.187
995,50.25,13.5,1.15
995,50.75,13.5,-1.885
995,49.25,14,0.702
995,49.75,14,-1.452
995,50.25,14,1.889
995,50.75,14,-1.765
995,49.25,14.5,0.173
995,49.75,14.5,0.151
995,50.25,14.5,-0.452
995,50.75,14.5,0.898
995,49.25,15,-0.359
995,49.75,15,0.691
995,50.25,15,0.329
995,50.75,15,-2.653
995,49.25,15.5,0.133
995,49.75,15.5,1.073
995,50.25,15.5,0.495
995,50.75,15.5,-1.908
995,49.25,16,-0.305
995,49.75,16,0.075
995,50.25,16,2.647
995,50.75,16,2.64
995,49.25,16.5,-1.344
995,49.75,16.5,0.326
995,50.25,16.5,1.873
995,50.75,16.5,1.711
996,49.25,13.5,2.685
996,49.75,13.5,1.654
996,50.25,13.5,3.187
996,50.75,13.5,0.389
996,49.25,14,2.253
996,49.75,14,1.022
996,50.25,14,4.241
996,50.75,14,-0.46
996,49.25,14.5,2.047
996,49.75,14.5,2.762
996,50.25,14.5,3.189
996,50.75,14.5,1.588
996,49.25,15,2.992
996,49.75,15,3.474
996,50.25,15,2.992
996,50.75,15,-0.304
996,49.25,15.5,2.53
996,49.75,15.5,3.846
996,50.25,15.5,2.797
996,50.75,15.5,1.279
996,49.25,16,2.661
996,49.75,16,3.086
996,50.25,16,4.679
996,50.75,16,2.477
996,49.25,16.5,0.521
996,49.75,16.5,3.734
996,50.25,16.5,3.987
996,50.75,16.5,2.339
997,49.25,13.5,2.217
997,49.75,13.5,0.858
997,50.25,13.5,1.248
997,50.75,13.5,-1.647
997,49.25,14,2.055
997,49.75,14,0.184
997,50.25,14,0.927
997,50.75,14,-2.482
997,49.25,14.5,0.772
997,49.75,14.5,2.114
997,50.25,14.5,3.111
997,50.75,14.5,-1.223
997,49.25,15,3.888
997,49.75,15,3.467
997,50.25,15,3.866
997,50.75,15,-2.408
997,49.25,15.5,3.406
997,49.75,15.5,3.845
997,50.25,15.5,1.541
997,50.75,15.5,-0.351
997,49.25,16,2.329
997,49.75,16,1.699
997,50.25,16,3.37
997,50.75,16,-1.381
997,49.25,16.5,-0.905
997,49.75,16.5,3.791
997,50.25,16.5,2.013
997,50.75,16.5,-0.242
998,49.25,13.5,-5.813
998,49.75,13.5,-5.825
998,50.25,13.5,-4.845
998,50.75,13.5,-4.168
998,49.25,14,-3.864
998,49.75,14,-3.058
998,50.25,14,-6.178
998,50.75,14,-2.854
998,49.25,14.5,-1.161
998,49.75,14.5,-3.758
998,50.25,14.5,-3.392
998,50.75,14.5,-1.594
998,49.25,15,-1.16
998,49.75,15,-2.756
998,50.25,15,-1.816
998,50.75,15,-3.412
998,49.25,15.5,-1.991
998,49.75,15.5,-0.845
998,50.25,15.5,-3.022
998,50.75,15.5,-2.248
998,49.25,16,-0.978
998,49.75,16,-1.691
998,50.25,16,-3.069
998,50.75,16,-2.509
998,49.25,16.5,-3.685
998,49.75,16.5,-1.106
998,50.25,16.5,-0.992
998,50.75,16.5,-1.578
999,49.25,13.5,1.924
999,49.75,13.5,2.709
999,50.25,13.5,3.405
999,50.75,13.5,2.597
999,49.25,14,0.161
999,49.75,14,3.397
999,50.25,14,2.079
999,50.75,14,2.61
999,49.25,14.5,2.99
999,49.75,14.5,1.894
999,50.25,14.5,3.937
999,50.75,14.5,2.067
999,49.25,15,2.017
999,49.75,15,2.895
999,50.25,15,4.534
999,50.75,15,2.326
999,49.25,15.5,2.22
999,49.75,15.5,3.702
999,50.25,15.5,2.652
999,50.75,15.5,2.081
999,49.25,16,2.011
999,49.75,16,2.386
999,50.25,16,2.058
999,50.75,16,2.803
999,49.25,16.5,1.324
999,49.75,16.5,2.231
999,50.25,16.5,1.378
999,50.75,16.5,1.814
1000,49.25,13.5,-1.003
1000,49.75,13.5,-0.222
1000,50.25,13.5,-0.088
1000,50.75,13.5,-1.206
1000,49.25,14,-0.759
1000,49.75,14,-0.245
1000,50.25,14,0.049
1000,50.75,14,-0.956
1000,49.25,14.5,1.36
1000,49.75,14.5,0.115
1000,50.25,14.5,0.885
1000,50.75,14.5,0.426
1000,49.25,15,-1.071
1000,49.75,15,0.611
1000,50.25,15,0.72
1000,50.75,15,-0.986
1000,49.25,15.5,0.563
1000,49.75,15.5,0.776
1000,50.25,15.5,-0.384
1000,50.75,15.5,-0.32
1000,49.25,16,0.563
1000,49.75,16,0.871
1000,50.25,16,0.316
1000,50.75,16,-0.606
1000,49.25,16.5,-1.544
1000,49.75,16.5,-1.337
1000,50.25,16.5,0.407
1000,50.75,16.5,-1.11
1001,49.25,13.5,1.569
1001,49.75,13.5,1.314
1001,50.25,13.5,2.505
1001,50.75,13.5,1.135
1001,49.25,14,0.466
1001,49.75,14,1.004
1001,50.25,14,2.124
1001,50.75,14,1.773
1001,49.25,14.5,1.839
1001,49.75,14.5,1.549
1001,50.25,14.5,0.801
1001,50.75,14.5,1.965
1001,49.25,15,-0.925
1001,49.75,15,0.657
1001,50.25,15,0.742
1001,50.75,15,1.574
1001,49.25,15.5,0.259
1001,49.75,15.5,0.504
1001,50.25,15.5,0.224
1001,50.75,15.5,1.53
1001,49.25,16,-0.027
1001,49.75,16,0.317
1001,50.25,16,0.46
1001,50.75,16,1.288
1001,49.25,16.5,-0.848
1001,49.75,16.5,-1.198
1001,50.25,16.5,0.19
1001,50.75,16.5,-0.427
1002,49.25,13.5,-0.631
1002,49.75,13.5,-0.2
1002,50.25,13.5,1.255
1002,50.75,13.5,0.994
1002,49.25,14,-1.062
1002,49.75,14,0.49
1002,50.25,14,1.112
1002,50.75,14,1.488
1002,49.25,14.5,1.297
1002,49.75,14.5,-0.42
1002,50.25,14.5,-0.92
1002,50.75,14.5,2.861
1002,49.25,15,-2.729
1002,49.75,15,-1.361
1002,50.25,15,-0.641
1002,50.75,15,2.467
1002,49.25,15.5,-1.148
1002,49.75,15.5,-2.449
1002,50.25,15.5,-1.123
1002,50.75,15.5,2.037
1002,49.25,16,-1.712
1002,49.75,16,-1.77
1002,50.25,16,-0.449
1002,50.75,16,0.887
1002,49.25,16.5,-1.287
1002,49.75,16.5,-2.352
1002,50.25,16.5,-0.103
1002,50.75,16.5,0.568
1003,49.25,13.5,-0.761
1003,49.75,13.5,0.06
1003,50.25,13.5,1.403
1003,50.75,13.5,2.391
1003,49.25,14,-0.869
1003,49.75,14,1.507
1003,50.25,14,1.931
1003,50.75,14,2.443
1003,49.25,14.5,1.342
1003,49.75,14.5,0.238
1003,50.25,14.5,0.255
1003,50.75,14.5,2.513
1003,49.25,15,-2.573
1003,49.75,15,-0.337
1003,50.25,15,-0.231
1003,50.75,15,4.455
1003,49.25,15.5,-0.859
1003,49.75,15.5,0.053
1003,50.25,15.5,1.565
1003,50.75,15.5,3.142
1003,49.25,16,-1.078
1003,49.75,16,-0.808
1003,50.25,16,1.519
1003,50.75,16,3.763
1003,49.25,16.5,0.019
1003,49.75,16.5,-0.313
1003,50.25,16.5,0.647
1003,50.75,16.5,2.425
1004,49.25,13.5,1.619
1004,49.75,13.5,2.325
1004,50.25,13.5,2.664
1004,50.75,13.5,0.379
1004,49.25,14,0.32
1004,49.75,14,1.03
1004,50.25,14,3.347
1004,50.75,14,0.306
1004,49.25,14.5,3.708
1004,49.75,14.5,1.759
1004,50.25,14.5,2.67
1004,50.75,14.5,0.716
1004,49.25,15,-0.256
1004,49.75,15,1.013
1004,50.25,15,2.599
1004,50.75,15,0.97
1004,49.25,15.5,1.088
1004,49.75,15.5,2.32
1004,50.25,15.5,2.087
1004,50.75,15.5,1.224
1004,49.25,16,0.742
1004,49.75,16,1.814
1004,50.25,16,4.26
1004,50.75,16,1.598
1004,49.25,16.5,-1.384
1004,49.75,16.5,2.08
1004,50.25,16.5,3.222
1004,50.75,16.5,1.597
1005,49.25,13.5,3.242
1005,49.75,13.5,2.446
1005,50.25,13.5,1.137
1005,50.75,13.5,-0.451
1005,49.25,14,1.773
1005,49.75,14,0.486
1005,50.25,14,0.907
1005,50.75,14,-0.56
1005,49.25,14.5,0.772
1005,49.75,14.5,0.489
1005,50.25,14.5,0.921
1005,50.75,14.5,-0.191
1005,49.25,15,-1.482
1005,49.75,15,-0.097
1005,50.25,15,0.43
1005,50.75,15,1.021
1005,49.25,15.5,-0.637
1005,49.75,15.5,-0.664
1005,50.25,15.5,-0.61
1005,50.75,15.5,0.109
1005,49.25,16,-0.614
1005,49.75,16,-1.083
1005,50.25,16,0.868
1005,50.75,16,1.19
1005,49.25,16.5,-1.549
1005,49.75,16.5,-1.837
1005,50.25,16.5,-1.168
1005,50.75,16.5,0.01
1006,49.25,13.5,2.077
1006,49.75,13.5,0.561
1006,50.25,13.5,0.383
1006,50.75,13.5,-2.323
1006,49.25,14,1.446
1006,49.75,14,-0.536
1006,50.25,14,-0.652
1006,50.75,14,-2.426
1006,49.25,14.5,1.743
1006,49.75,14.5,-0.992
1006,50.25,14.5,-1.487
1006,50.75,14.5,0.472
1006,49.25,15,-3.174
1006,49.75,15,-2.408
1006,50.25,15,-1.275
1006,50.75,15,0.237
1006,49.25,15.5,-1.79
1006,49.75,15.5,-2.077
1006,50.25,15.5,-1.738
1006,50.75,15.5,-0.539
1006,49.25,16,-1.779
1006,49.75,16,-1.96
1006,50.25,16,0.639
1006,50.75,16,2.996
1006,49.25,16.5,-3.555
1006,49.75,16.5,-2.155
1006,50.25,16.5,0.063
1006,50.75,16.5,1.549
1007,49.25,13.5,0.173
1007,49.75,13.5,-1.491
1007,50.25,13.5,0.451
1007,50.75,13.5,-1.457
1007,49.25,14,-0.259
1007,49.75,14,-0.365
1007,50.25,14,0.149
1007,50.75,14,-0.446
1007,49.25,14.5,3.407
1007,49.75,14.5,-0.61
1007,50.25,14.5,-0.819
1007,50.75,14.5,2.435
1007,49.25,15,-1.905
1007,49.75,15,-1.657
1007,50.25,15,-0.178
1007,50.75,15,-0.513
1007,49.25,15.5,-0.428
1007,49.75,15.5,0.055
1007,50.25,15.5,-0.659
1007,50.75,15.5,0.515
1007,49.25,16,-0.882
1007,49.75,16,-0.212
1007,50.25,16,2.182
1007,50.75,16,0.482
1007,49.25,16.5,-1.574
1007,49.75,16.5,0.058
1007,50.25,16.5,1.874
1007,50.75,16.5,1.394
1008,49.25,13.5,-2.259
1008,49.75,13.5,-0.788
1008,50.25,13.5,-1.006
1008,50.75,13.5,-0.534
1008,49.25,14,-1.617
1008,49.75,14,-0.397
1008,50.25,14,0.224
1008,50.75,14,0.053
1008,49.25,14.5,1.078
1008,49.75,14.5,-0.095
1008,50.25,14.5,0.543
1008,50.75,14.5,-1.129
1008,49.25,15,-0.493
1008,49.75,15,0.091
1008,50.25,15,0.832
1008,50.75,15,0.301
1008,49.25,15.5,0.478
1008,49.75,15.5,3.079
1008,50.25,15.5,1.065
1008,50.75,15.5,0.32
1008,49.25,16,2.078
1008,49.75,16,2.392
1008,50.25,16,1.414
1008,50.75,16,0.861
1008,49.25,16.5,0.349
1008,49.75,16.5,2.095
1008,50.25,16.5,1.568
1008,50.75,16.5,0.222
1009,49.25,13.5,-0.165
1009,49.75,13.5,1.981
1009,50.25,13.5,-1.04
1009,50.75,13.5,-1.232
1009,49.25,14,-0.701
1009,49.75,14,-0.367
1009,50.25,14,-0.314
1009,50.75,14,-1.151
1009,49.25,14.5,0.702
1009,49.75,14.5,-0.365
1009,50.25,14.5,1.126
1009,50.75,14.5,-2.227
1009,49.25,15,-0.513
1009,49.75,15,-0.111
1009,50.25,15,1.351
1009,50.75,15,-1.625
1009,49.25,15.5,0.5
1009,49.75,15.5,2.712
1009,50.25,15.5,0.569
1009,50.75,15.5,-1.322
1009,49.25,16,0.853
1009,49.75,16,-0.129
1009,50.25,16,0.79
1009,50.75,16,-2.432
1009,49.25,16.5,-1.662
1009,49.75,16.5,0.71
1009,50.25,16.5,-0.223
1009,50.75,16.5,-3.293
1010,49.25,13.5,0.834
1010,49.75,13.5,0.558
1010,50.25,13.5,-0.189
1010,50.75,13.5,-2.293
1010,49.25,14,-0.334
1010,49.75,14,-0.904
1010,50.25,14,-0.803
1010,50.75,14,-1.296
1010,49.25,14.5,-0.777
1010,49.75,14.5,-1.136
1010,50.25,14.5,-0.543
1010,50.75,14.5,-1.055
1010,49.25,15,-0.437
1010,49.75,15,0.111
1010,50.25,15,-0.064
1010,50.75,15,-1.172
1010,49.25,15.5,0.485
1010,49.75,15.5,-0.013
1010,50.25,15.5,-0.87
1010,50.75,15.5,-0.983
1010,49.25,16,-0.341
1010,49.75,16,-0.542
1010,50.25,16,-0.277
1010,50.75,16,-1.104
1010,49.25,16.5,-1.774
1010,49.75,16.5,-1.008
1010,50.25,16.5,-0.925
1010,50.75,16.5,-2.223
1011,49.25,13.5,0.761
1011,49.75,13.5,1.125
1011,50.25,13.5,1.531
1011,50.75,13.5,-1.773
1011,49.25,14,0.227
1011,49.75,14,-0.142
1011,50.25,14,0.607
1011,50.75,14,-0.979
1011,49.25,14.5,1.025
1011,49.75,14.5,-0.427
1011,50.25,14.5,0.189
1011,50.75,14.5,1.1
1011,49.25,15,-1.073
1011,49.75,15,0.141
1011,50.25,15,0.7
1011,50.75,15,-0.848
1011,49.25,15.5,0.763
1011,49.75,15.5,0.646
